algorithm,scenario,seed,selection,crossover,mutation,fitness,duration_s,overall_coverage,mean_coverage,total_shortage,final_diversity,feasible
hybrid,Resource Scarcity,0,tournament,whole,uniform,0.349327,0.431,0.7511,0.759,128.447,1.4407,True
hybrid,Resource Scarcity,1,tournament,whole,uniform,0.344639,0.575,0.7558,0.7664,126.0,1.6378,True
hybrid,Resource Scarcity,2,tournament,whole,uniform,0.348015,0.496,0.7487,0.7557,129.677,1.7339,True
hybrid,Resource Scarcity,3,tournament,whole,uniform,0.343907,0.63,0.7558,0.7649,126.0,1.3832,True
hybrid,Resource Scarcity,4,tournament,whole,uniform,0.343334,0.494,0.7558,0.7623,126.0,0.8356,True
hybrid,Resource Scarcity,0,tournament,whole,non_uniform,0.347454,0.547,0.7518,0.7565,128.076,0.046,True
hybrid,Resource Scarcity,1,tournament,whole,non_uniform,0.344639,0.512,0.7558,0.7664,126.0,0.0003,True
hybrid,Resource Scarcity,2,tournament,whole,non_uniform,0.343763,0.422,0.7549,0.7613,126.496,0.0049,True
hybrid,Resource Scarcity,3,tournament,whole,non_uniform,0.345564,0.429,0.7551,0.7593,126.382,0.021,True
hybrid,Resource Scarcity,4,tournament,whole,non_uniform,0.343334,0.409,0.7558,0.7623,126.0,0.0014,True
hybrid,Resource Scarcity,0,tournament,simple,uniform,0.34713,0.417,0.7474,0.7571,130.358,0.7553,True
hybrid,Resource Scarcity,1,tournament,simple,uniform,0.344639,0.42,0.7558,0.7664,126.0,1.576,True
hybrid,Resource Scarcity,2,tournament,simple,uniform,0.344298,0.421,0.754,0.7606,126.916,2.6351,True
hybrid,Resource Scarcity,3,tournament,simple,uniform,0.343509,0.473,0.7558,0.7673,126.0,1.7224,True
hybrid,Resource Scarcity,4,tournament,simple,uniform,0.343334,0.464,0.7558,0.7623,126.0,0.9201,True
hybrid,Resource Scarcity,0,tournament,simple,non_uniform,0.345168,0.471,0.7523,0.7614,127.801,0.0647,True
hybrid,Resource Scarcity,1,tournament,simple,non_uniform,0.344639,0.479,0.7558,0.7664,126.0,0.0024,True
hybrid,Resource Scarcity,2,tournament,simple,non_uniform,0.344623,0.611,0.754,0.7626,126.936,0.0137,True
hybrid,Resource Scarcity,3,tournament,simple,non_uniform,0.343533,0.589,0.7558,0.7672,126.0,0.0234,True
hybrid,Resource Scarcity,4,tournament,simple,non_uniform,0.343334,0.55,0.7558,0.7623,126.0,0.002,True
hybrid,Resource Scarcity,0,roulette,whole,uniform,0.357962,0.584,0.7412,0.7488,133.564,2.0157,True
hybrid,Resource Scarcity,1,roulette,whole,uniform,0.344639,0.597,0.7558,0.7664,126.0,2.6463,True
hybrid,Resource Scarcity,2,roulette,whole,uniform,0.363398,0.472,0.7242,0.7272,142.305,2.9037,True
hybrid,Resource Scarcity,3,roulette,whole,uniform,0.346989,0.455,0.7558,0.7661,126.0,1.7123,True
hybrid,Resource Scarcity,4,roulette,whole,uniform,0.343334,0.447,0.7558,0.7623,126.0,3.1297,True
hybrid,Resource Scarcity,0,roulette,whole,non_uniform,0.353196,0.443,0.7366,0.7478,135.926,0.2687,True
hybrid,Resource Scarcity,1,roulette,whole,non_uniform,0.344639,0.423,0.7558,0.7664,126.0,0.328,True
hybrid,Resource Scarcity,2,roulette,whole,non_uniform,0.343772,0.433,0.7548,0.7612,126.507,0.536,True
hybrid,Resource Scarcity,3,roulette,whole,non_uniform,0.343354,0.458,0.7558,0.7675,126.0,0.2305,True
hybrid,Resource Scarcity,4,roulette,whole,non_uniform,0.343334,0.431,0.7558,0.7623,126.0,0.342,True
hybrid,Resource Scarcity,0,roulette,simple,uniform,0.35148,0.435,0.7395,0.7494,134.408,2.3126,True
hybrid,Resource Scarcity,1,roulette,simple,uniform,0.344639,0.428,0.7558,0.7664,126.0,1.9579,True
hybrid,Resource Scarcity,2,roulette,simple,uniform,0.353951,0.42,0.7407,0.747,133.779,2.3536,True
hybrid,Resource Scarcity,3,roulette,simple,uniform,0.346252,0.429,0.7549,0.7655,126.493,1.9309,True
hybrid,Resource Scarcity,4,roulette,simple,uniform,0.343334,0.459,0.7558,0.7623,126.0,3.419,True
hybrid,Resource Scarcity,0,roulette,simple,non_uniform,0.356349,0.476,0.7306,0.7388,139.035,0.7505,True
hybrid,Resource Scarcity,1,roulette,simple,non_uniform,0.344639,0.68,0.7558,0.7664,126.0,1.0969,True
hybrid,Resource Scarcity,2,roulette,simple,non_uniform,0.350116,0.552,0.7456,0.7528,131.288,0.643,True
hybrid,Resource Scarcity,3,roulette,simple,non_uniform,0.346758,0.485,0.7558,0.7662,126.0,0.8128,True
hybrid,Resource Scarcity,4,roulette,simple,non_uniform,0.343334,0.515,0.7558,0.7623,126.0,0.5377,True
